#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D979
#Date Time: 2023-04-20 14:52:00.448
#Sample rate: 1.20482e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Ref 1: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.9 kHz
#Period: 526.315789 us
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#Time (s),Channel 1 (V),Channel 2 (V),Ref 1 (V)
0.00199712663900415,1.115993964290795,1.211151591177414,-0.4950307252426403
0.001997956639004149,1.101465008407839,1.213505746628318,-0.4953686079375928
0.00199878663900415,1.093355823728979,1.215523594157665,-0.4926655463779729
0.00199961663900415,1.081192046710689,1.218550365451684,-0.4919897809880679
0.00200044663900415,1.07173133125202,1.2192229812948,-0.4896246021234006
0.00200127663900415,1.053823548419538,1.225276523882839,-0.4892867194284481
0.00200210663900415,1.039294592536582,1.228303295176859,-0.4859078924789233
0.00200293663900415,1.031523290552675,1.22964852686309,-0.4848942443940658
0.00200376663900415,1.012263976940383,1.234693145686456,-0.4848942443940658
0.002004596639004149,1.000775965311999,1.236710993215802,-0.481515417444541
0.00200542663900415,0.986247009429042,1.241082996196053,-0.4801638866647311
0.00200625663900415,0.9707044054612278,1.24444607541163,-0.4777987078000637
0.00200708663900415,0.9531345053236988,1.247809154627207,-0.4764471770202538
0.00200791663900415,0.9423222590852193,1.251172233842785,-0.4757714116303488
0.00200874663900415,0.9291448339820725,1.253526389293689,-0.4727304673757765
0.00200957663900415,0.9078582242000661,1.258234700195497,-0.4700274058161566
0.00201040663900415,0.8936671510120618,1.260588855646401,-0.4676622269514892
0.00201123663900415,0.8815033739937725,1.263279319018863,-0.463269751917107
0.00201206663900415,0.8632577084663384,1.266978706155998,-0.4605666903574871
0.00201289663900415,0.8507560487530966,1.268996553685345,-0.4582015114928197
0.002013726639004149,0.8308209697509001,1.273704864587153,-0.4575257461029147
0.00201455663900415,0.8142647176982285,1.277404251724288,-0.4554984499331999
0.00201538663900415,0.7953432867808895,1.282785178469212,-0.452119622983675
0.00201621663900415,0.7733809116089781,1.285811949763232,-0.4500923268139602
0.00201704663900415,0.7608792518957364,1.287829797292578,-0.4453619690846254
0.00201787663900415,0.7416199382834449,1.291865492351271,-0.444348320999768
0.00201870663900415,0.7291182785702029,1.293210724037502,-0.4426589075250055
0.00201953663900415,0.7128999092124838,1.297582727017752,-0.4386043151855757
0.00202036663900415,0.6862071763112377,1.302963653762676,-0.4369149017108134
0.00202119663900415,0.6699888069535186,1.305654117135138,-0.4342118401511935
0.00202202663900415,0.6490400798664647,1.310026120115388,-0.4318466612865261
0.002022856639004149,0.6318080624238881,1.31271658348785,-0.4284678343370013
0.00202368663900415,0.6260640566096959,1.313725507252524,-0.425426890082429
0.00202451663900415,0.6013986198781647,1.318097510232774,-0.423399593912714
0.00202534663900415,0.577071065841586,1.322133205291467,-0.4206965323530942
0.00202617663900415,0.5557844560595796,1.325496284507044,-0.4152904092338545
0.00202700663900415,0.5412555001766228,1.32919567164418,-0.415628291928807
0.00202783663900415,0.5253750135138562,1.331886135016641,-0.4136009957590921
0.00202866663900415,0.5067914652914697,1.335921830075334,-0.4088706380297573
0.002029496639004149,0.4780714362205087,1.340630140977142,-0.4068433418600425
0.00203032663900415,0.4716516650164115,1.341975372663373,-0.4034645149105176
0.00203115663900415,0.4398906916908782,1.348701531094528,-0.4010993360458502
0.002031986639004149,0.4213071434684917,1.35139199446699,-0.3977205090963254
0.00203281663900415,0.4050887741107725,1.353409841996336,-0.395355330231658
0.00203364663900415,0.3834642816338137,1.357445537055029,-0.3919765032821332
0.00203447663900415,0.3587988449022825,1.36181754003528,-0.387584028247751
0.00203530663900415,0.3466350678839931,1.363162771721511,-0.3842052012982261
0.00203613663900415,0.319942334982747,1.368880006387992,-0.3811642570436538
0.00203696663900415,0.2929117193865484,1.373252009368243,-0.3784611954840339
0.00203779663900415,0.2729766403843519,1.375942472740705,-0.3730550723647942
0.002038626639004149,0.2604749806711101,1.378632936113167,-0.3693383627203169
0.00203945663900415,0.234458013159769,1.382332323250302,-0.367311066550602
0.00204028663900415,0.2101304591231903,1.386704326230552,-0.3612291780414573
0.00204111663900415,0.1881680839512789,1.39006740544613,-0.35886399917679
0.00204194663900415,0.1712739492036548,1.393094176740149,-0.3544715241424077
0.00204277663900415,0.1459327470822186,1.397802487641957,-0.3527821106676453
0.00204360663900415,0.1243082546052597,1.401165566857535,-0.3463623394635481
0.00204443663900415,0.1050489409929682,1.403519722308439,-0.3433213952089758
0.00204526663900415,0.07295008497248243,1.408900649053363,-0.339266802869546
0.00204609663900415,0.0486225309359037,1.412936344112055,-0.3352122105301162
0.00204692663900415,0.0256465076791349,1.417308347092306,-0.3311576181906864
0.002047756639004149,0.006049311371890929,1.419998810464768,-0.3271030258512566
0.00204858663900415,-0.01219635415554311,1.422352965915672,-0.3237241989017318
0.00204941663900415,-0.03956485244669418,1.426388660974365,-0.3206832546471595
0.00205024663900415,-0.06118934492365305,1.4300880481115,-0.3159528969178247
0.00205107663900415,-0.08044865853594454,1.432105895640847,-0.3122361872733474
0.00205190663900415,-0.1020731510129034,1.434796359013308,-0.3088573603238225
0.00205273663900415,-0.1236976434898623,1.438832054072001,-0.3061542987642027
0.00205356663900415,-0.1615405053245403,1.44488559666004,-0.3010860583399155
